id,amount,item_num,user_id,order_info_id,product_category_id,product_sku_id,shop_id,create_time,update_time
1,22.56,7,e466438c-f6e7-4d85-acc8-d1e7270cfa5f,1,5f0e7401-71de-490e-bfc9-c7f49ad9a977,9bc8f8da-09dc-4a30-b260-35b30ed41ab8,c3b8056d-5203-4cad-a3b8-d05b3700cf75,2023-08-30,2023-08-30
2,16.78,2,ceddca8e-f750-4b95-9652-2aca237412fc,2,4c231a32-2ef5-4faf-ab6b-ca3eb406aa39,c10eeed7-92b5-45ff-ba7b-3864817b6876,c10e5b08-53ac-418d-8616-11efbb16804c,2023-02-06,2023-02-06
3,27.23,10,0ecce0f0-6586-4519-91e1-d4a5b188719c,3,74de8c23-716c-44b6-8041-435e48ef05f0,7c6a4840-e6d0-4330-a942-5eef7ee679ea,a2ce04ff-1bae-43ea-9853-0233c24e999a,2023-05-18,2023-05-18
4,22.08,6,5d61c518-ca1b-45b6-bf4b-522dfa6eb42a,4,85246b8d-35ff-4310-ba23-263b3b4c80b4,af8b5152-f83a-457e-9518-3490b0a4ab2f,b045015b-7712-4731-81ad-b187eac506b2,2023-06-29,2023-06-29
5,25.39,3,7dd62886-00d4-46ca-85f9-76e6765bfdb9,5,5fc41e71-2744-4f72-b869-42024da5027d,e00c6672-c796-43e9-a4cc-afcf7c09eba5,886f959b-4a07-4630-9ca4-493bb3685686,2023-01-07,2023-01-07
6,14.97,5,2e5cad4f-9b09-47ec-aa95-53a1e16500bd,6,96abaeff-2daf-4666-b0db-26029dc4c005,958e01e3-dbaa-4589-b0c3-33783392634a,6be0f47e-71a1-4279-adcb-04abec6583eb,2023-08-07,2023-08-07
7,11.58,4,eb974aeb-a1a8-4435-9eb3-1060b4b91a94,7,d4b8816f-3986-4634-af99-ac1fdeae0b44,e34e3c9b-7a7e-426f-b58f-fa489b67cf54,eb5b397d-ccb3-4f7e-81e7-54214449c6ae,2023-03-09,2023-03-09
8,10.59,5,7571a62f-573e-460d-8ac3-c4198e8028d3,8,59f2b038-cf3e-4c1e-86f1-65cd9906bb5a,e47cdb0c-e8ff-40e0-a687-996e96185b32,9397c71e-bb21-43b6-be21-fdbfdc2a7d8f,2023-01-25,2023-01-25
9,18.42,6,a325aefb-f0f0-461c-b3e1-361f7618c6a0,9,8c9d7401-cb8f-448f-92ed-0b89388a9ae0,39f68577-5df3-4727-a5d6-f31c4b69e98e,6ed7b53c-95ed-43de-bff1-136cd53f5ae1,2023-08-05,2023-08-05
10,13.54,9,84eb97be-11d1-4df1-aec2-6ed6482003e8,10,50928439-adaf-443f-b013-a9c92bfabf6d,38ac8113-b8f5-4b19-ac28-9a0cadfd77a1,57d13120-81db-4743-8d4d-f3937e350173,2023-11-10,2023-11-10
