id,create_time,update_time,attr_value,product_spu_attr_id
1,1/19/2023,1/19/2023,1234,677
2,10/21/2023,10/21/2023,5678,489
3,3/12/2023,3/12/2023,QWERTY,949
4,5/19/2023,5/19/2023,ASDF,457
5,7/2/2023,7/2/2023,WXYZ,249
6,1/15/2023,1/15/2023,5432,136
7,6/25/2023,6/25/2023,0987,719
8,12/3/2023,12/3/2023,QWERTY,282
9,3/12/2023,3/12/2023,ABCD,981
10,8/2/2023,8/2/2023,ASDF,863
11,10/28/2023,10/28/2023,POIU,961
12,2/10/2023,2/10/2023,ZXCV,23
13,5/27/2023,5/27/2023,5432,685
14,1/28/2023,1/28/2023,1234,345
15,1/12/2023,1/12/2023,1234,624
16,6/29/2023,6/29/2023,QWER,933
17,5/21/2023,5/21/2023,QWER,167
18,1/29/2023,1/29/2023,UIOP,975
19,10/30/2023,10/30/2023,ASDF,608
20,12/6/2023,12/6/2023,5678,272
21,4/23/2023,4/23/2023,0987,616
22,7/2/2023,7/2/2023,QWERTY,675
23,7/12/2023,7/12/2023,ABCD,336
24,2/16/2023,2/16/2023,5432,80
25,1/25/2023,1/25/2023,1234,18
26,9/22/2023,9/22/2023,0987,446
27,8/18/2023,8/18/2023,UIOP,570
28,6/15/2023,6/15/2023,POIU,236
29,5/29/2023,5/29/2023,QWER,196
30,12/17/2023,12/17/2023,ABCD,716
31,12/3/2023,12/3/2023,POIU,501
32,9/18/2023,9/18/2023,1234,433
33,9/17/2023,9/17/2023,5678,193
34,5/7/2023,5/7/2023,UIOP,2
35,3/7/2023,3/7/2023,5432,781
36,5/23/2023,5/23/2023,0987,885
37,1/31/2023,1/31/2023,ASDF,22
38,12/6/2023,12/6/2023,5432,234
39,8/30/2023,8/30/2023,LKJH,134
40,11/8/2023,11/8/2023,LKJH,222
41,8/22/2023,8/22/2023,QWERTY,913
42,9/30/2023,9/30/2023,POIU,652
43,2/17/2023,2/17/2023,QWER,139
44,10/24/2023,10/24/2023,ASDF,281
45,5/15/2023,5/15/2023,MNBV,956
46,9/21/2023,9/21/2023,ABCD,543
47,7/17/2023,7/17/2023,QWER,586
48,1/14/2023,1/14/2023,UIOP,778
49,6/8/2023,6/8/2023,0987,229
50,9/14/2023,9/14/2023,MNBV,53
51,3/21/2023,3/21/2023,0987,125
52,7/31/2023,7/31/2023,POIU,98
53,12/22/2023,12/22/2023,1234,282
54,8/29/2023,8/29/2023,9876,720
55,3/7/2023,3/7/2023,WXYZ,991
56,5/7/2023,5/7/2023,1234,91
57,10/22/2023,10/22/2023,9876,75
58,9/13/2023,9/13/2023,5678,390
59,1/18/2023,1/18/2023,WXYZ,475
60,11/22/2023,11/22/2023,0987,841
61,4/15/2023,4/15/2023,LKJH,195
62,5/20/2023,5/20/2023,9876,677
63,3/13/2023,3/13/2023,1234,717
64,10/21/2023,10/21/2023,QWER,751
65,7/7/2023,7/7/2023,5678,251
66,7/16/2023,7/16/2023,0987,271
67,6/24/2023,6/24/2023,POIU,329
68,10/26/2023,10/26/2023,QWER,724
69,4/15/2023,4/15/2023,5678,308
70,12/4/2023,12/4/2023,ASDF,313
71,6/12/2023,6/12/2023,LKJH,561
72,3/27/2023,3/27/2023,POIU,57
73,11/26/2023,11/26/2023,ABCD,666
74,11/8/2023,11/8/2023,5432,929
75,3/2/2023,3/2/2023,0987,486
76,12/17/2023,12/17/2023,1234,778
77,4/12/2023,4/12/2023,1234,789
78,12/2/2023,12/2/2023,ZXCV,412
79,12/30/2023,12/30/2023,ZXCV,133
80,4/15/2023,4/15/2023,9876,692
81,8/29/2023,8/29/2023,ASDF,114
82,5/23/2023,5/23/2023,WXYZ,317
83,12/5/2023,12/5/2023,ASDF,137
84,3/4/2023,3/4/2023,1234,961
85,8/18/2023,8/18/2023,ABCD,537
86,8/11/2023,8/11/2023,MNBV,75
87,2/20/2023,2/20/2023,5432,247
88,5/5/2023,5/5/2023,QWER,841
89,1/31/2023,1/31/2023,0987,923
90,6/19/2023,6/19/2023,QWERTY,954
91,1/5/2023,1/5/2023,1234,491
92,10/20/2023,10/20/2023,POIU,811
93,2/18/2023,2/18/2023,ZXCV,30
94,10/8/2023,10/8/2023,ZXCV,320
95,11/6/2023,11/6/2023,ABCD,711
96,5/15/2023,5/15/2023,LKJH,28
97,10/12/2023,10/12/2023,1234,727
98,1/25/2023,1/25/2023,0987,216
99,12/27/2023,12/27/2023,0987,292
100,12/8/2023,12/8/2023,QWERTY,812
101,3/26/2023,3/26/2023,QWER,903
102,1/1/2023,1/1/2023,QWERTY,30
103,2/8/2023,2/8/2023,9876,121
104,9/24/2023,9/24/2023,5678,570
105,8/15/2023,8/15/2023,1234,672
106,1/9/2023,1/9/2023,ASDF,708
107,8/7/2023,8/7/2023,POIU,642
108,12/26/2023,12/26/2023,5432,699
109,12/24/2023,12/24/2023,UIOP,831
110,3/20/2023,3/20/2023,9876,869
111,10/2/2023,10/2/2023,1234,830
112,7/4/2023,7/4/2023,QWERTY,60
